Date,Day,Rawalpindi_DOC,Rawalpindi_Farm Rate,Rawalpindi_Open,Rawalpindi_Close,Lahore_DOC,Lahore_Farm Rate,Lahore_Open,Lahore_Close,Per_30_Dozens
January 2015,January 2015,,,,,,,,,
1-Jan-15,Thursday,51.5,165.0,170.0,170.0,51.5,158.0,163.0,158.0,
2-Jan-15,Friday,48.5,165.0,170.0,160.0,48.5,154.0,158.0,153.0,
3-Jan-15,Saturday,44.5,150.0,180.0,167.5,44.5,148.0,154.0,156.0,
4-Jan-15,Sunday,44.5,150.0,,,,148.0,154.0,150.0,
5-Jan-15,Monday,40.5,150.0,165.0,155.0,40.5,146.0,150.0,144.0,
6-Jan-15,Tuesday,36.5,140.0,155.0,152.5,36.5,140.0,144.0,140.0,
7-Jan-15,Wednesday,35.5,140.0,155.0,150.0,35.5,136.0,138.0,136.0,
8-Jan-15,Thursday,35.5,140.0,162.5,155.0,35.5,134.0,137.0,140.0,
9-Jan-15,Friday,37.5,145.0,165.0,157.5,37.5,134.0,139.0,143.0,
10-Jan-15,Saturday,38.5,145.0,162.5,155.0,38.5,136.0,142.0,146.0,
11-Jan-15,Sunday,38.5,145.0,162.5,160.0,,138.0,146.0,143.0,
12-Jan-15,Monday,38.5,145.0,160.0,152.5,38.5,138.0,140.0,135.0,
13-Jan-15,Tuesday,38.5,140.0,150.0,142.5,38.5,133.0,134.0,130.0,
14-Jan-15,Wednesday,38.5,137.5,150.0,145.0,38.5,130.0,133.0,130.0,
15-Jan-15,Thursday,38.5,135.0,142.5,135.0,38.5,128.0,131.0,128.0,
16-Jan-15,Friday,38.5,135.0,145.0,140.0,38.5,128.0,133.0,128.0,
17-Jan-15,Saturday,38.5,132.0,140.0,130.0,38.5,124.0,128.0,126.0,
18-Jan-15,Sunday,38.5,125.0,135.0,130.0,,122.0,126.0,122.0,
19-Jan-15,Monday,38.5,120.0,130.0,125.0,38.5,120.0,122.0,116.0,
20-Jan-15,Tuesday,32.5,117.0,120.0,112.5,32.5,115.0,118.0,113.0,
21-Jan-15,Wednesday,28.5,115.0,130.0,125.0,28.5,112.0,115.0,110.0,
22-Jan-15,Thursday,26.5,117.5,137.5,132.5,26.5,112.0,116.0,112.0,
23-Jan-15,Friday,27.5,120.0,130.0,117.5,27.5,112.0,117.0,112.0,
24-Jan-15,Saturday,27.5,115.0,132.5,125.0,27.5,112.0,116.0,112.0,
25-Jan-15,Sunday,27.5,112.5,132.5,125.0,,110.0,115.0,110.0,
26-Jan-15,Monday,27.5,107.5,120.0,105.0,27.5,105.0,105.0,100.0,
27-Jan-15,Tuesday,23.5,107.5,120.0,115.0,23.5,105.0,105.0,100.0,
28-Jan-15,Wednesday,20.5,100.0,100.0,97.5,20.5,100.0,100.0,95.0,
29-Jan-15,Thursday,18.5,100.0,105.0,102.5,18.5,100.0,100.0,95.0,
30-Jan-15,Friday,18.5,97.5,117.5,115.0,18.5,100.0,100.0,93.0,
31-Jan-15,Saturday,18.5,100.0,112.5,105.0,18.5,98.0,94.0,102.0,
February 2015,February 2015,18.5,,,,,,,,
1-Feb-15,Sunday,18.5,100.0,112.5,105.0,,98.0,107.0,100.0,
2-Feb-15,Monday,18.5,102.5,115.0,110.0,18.5,100.0,105.0,100.0,
3-Feb-15,Tuesday,20.5,102.5,115.0,107.5,20.5,100.0,108.0,110.0,
4-Feb-15,Wednesday,24.5,110.0,115.0,107.5,24.5,106.0,111.0,116.0,
5-Feb-15,Thursday,24.5,107.5,125.0,120.0,24.5,108.0,112.0,115.0,
